x86 Windows 10 and							
File name	File version	File size	Date	Time	Platform	SP requirement	Service branch
Oemlicense.dll	Not applicable	185	8-Oct-20	7:14	Not applicable	None	Not applicable
Pkeyhelper.dll	Not applicable	7,047	8-Oct-20	7:14	Not applicable	None	Not applicable
Pkeyhelper.dll	Not applicable	6,967	8-Oct-20	7:14	Not applicable	None	Not applicable
Clipsvc.dll	Not applicable	14,091	8-Oct-20	7:14	Not applicable	None	Not applicable
Clipsvc.dll	Not applicable	14,057	8-Oct-20	7:14	Not applicable	None	Not applicable
Taskflowui.dll	Not applicable	4,239	8-Oct-20	7:14	Not applicable	None	Not applicable
Taskflowui.dll	Not applicable	4,195	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft-desktop-provisioning-sequence.dat	Not applicable	30,842	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft-desktop-provisioning.dat	Not applicable	193,297	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft-desktop-provisioning-sequence.dat	Not applicable	30,230	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft-desktop-provisioning.dat	Not applicable	191,180	8-Oct-20	7:14	Not applicable	None	Not applicable
Errordetails.dll	Not applicable	2,374	8-Oct-20	7:14	Not applicable	None	Not applicable
Errordetails.dll	Not applicable	2,128	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmrdvcore.dll	Not applicable	190	8-Oct-20	7:14	Not applicable	None	Not applicable
Vmrdvcore.dll	Not applicable	187	8-Oct-20	7:14	Not applicable	None	Not applicable
Bcastdvruserservice.dll	Not applicable	13,297	8-Oct-20	7:14	Not applicable	None	Not applicable
Knowngamelist.bin	Not applicable	5,089	8-Oct-20	7:14	Not applicable	None	Not applicable
Bcastdvruserservice.dll	Not applicable	13,258	8-Oct-20	7:14	Not applicable	None	Not applicable
Knowngamelist.bin	Not applicable	5,086	8-Oct-20	7:14	Not applicable	None	Not applicable
Midimap.dll	Not applicable	177	8-Oct-20	7:14	Not applicable	None	Not applicable
Msacm32.drv	Not applicable	182	8-Oct-20	7:14	Not applicable	None	Not applicable
Midimap.dll	Not applicable	173	8-Oct-20	7:14	Not applicable	None	Not applicable
Msacm32.drv	Not applicable	178	8-Oct-20	7:15	Not applicable	None	Not applicable
Windows.applicationmodel.datatransfer.dll	Not applicable	16,693	8-Oct-20	7:14	Not applicable	None	Not applicable
Windows.applicationmodel.datatransfer.dll	Not applicable	16,428	8-Oct-20	7:14	Not applicable	None	Not applicable
Msacm32.drv.mui	Not applicable	967	8-Oct-20	7:14	Not applicable	None	Not applicable
Resourcepolicyclient.dll	Not applicable	2,836	8-Oct-20	7:14	Not applicable	None	Not applicable
Resourcepolicyclient.dll	Not applicable	2,831	8-Oct-20	7:14	Not applicable	None	Not applicable
Resourcepolicyserver.dll	Not applicable	3,410	8-Oct-20	7:14	Not applicable	None	Not applicable
Resourcepolicyserver.dll	Not applicable	3,310	8-Oct-20	7:14	Not applicable	None	Not applicable
Actionqueue.dll	Not applicable	2,960	8-Oct-20	7:14	Not applicable	None	Not applicable
Actionqueue.dll	Not applicable	2,971	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft.bluetooth.service.dll	Not applicable	43,752	8-Oct-20	7:15	Not applicable	None	Not applicable
Microsoft.bluetooth.service.dll	Not applicable	43,270	8-Oct-20	7:15	Not applicable	None	Not applicable
Bluetoothapis.dll	Not applicable	272	8-Oct-20	7:15	Not applicable	None	Not applicable
Wshbth.dll	Not applicable	261	8-Oct-20	7:14	Not applicable	None	Not applicable
